,team,from,to,elo
4310,Bayern,2016-10-20,2016-10-20,2008.63952637
4311,Bayern,2016-10-21,2016-10-22,2010.64941406
4312,Bayern,2016-10-23,2016-10-23,2013.58850098
4313,Bayern,2016-10-24,2016-10-29,2013.58850098
4314,Bayern,2016-10-30,2016-11-01,2016.421875
4315,Bayern,2016-11-02,2016-11-02,2018.50170898
4316,Bayern,2016-11-03,2016-11-03,2023.26611328
4317,Bayern,2016-11-04,2016-11-05,2019.65124512
4318,Bayern,2016-11-06,2016-11-19,2011.66821289
4319,Bayern,2016-11-20,2016-11-22,2001.5802002
4320,Bayern,2016-11-23,2016-11-23,2002.0802002
4321,Bayern,2016-11-24,2016-11-24,1983.76306152
4322,Bayern,2016-11-25,2016-11-26,1986.59399414
4323,Bayern,2016-11-27,2016-12-02,1989.1730957
4324,Bayern,2016-12-03,2016-12-06,1993.03308105
4325,Bayern,2016-12-07,2016-12-07,1999.17834473
4326,Bayern,2016-12-08,2016-12-08,2004.6862793
4327,Bayern,2016-12-09,2016-12-10,2001.13769531
4328,Bayern,2016-12-11,2016-12-18,2004.1706543
4329,Bayern,2016-12-19,2016-12-21,2005.33178711
4330,Bayern,2016-12-22,2017-01-20,2007.80847168
4331,Bayern,2017-01-21,2017-01-28,2009.97192383
4332,Bayern,2017-01-29,2017-02-04,2011.80810547
4333,Bayern,2017-02-05,2017-02-11,2004.12841797
4334,Bayern,2017-02-12,2017-02-14,2006.3503418
4335,Bayern,2017-02-15,2017-02-15,2004.50500488
4336,Bayern,2017-02-16,2017-02-16,2016.16992188
4337,Bayern,2017-02-17,2017-02-18,2015.00830078
4338,Bayern,2017-02-19,2017-02-21,2008.68334961
4339,Bayern,2017-02-22,2017-02-22,2005.97729492
4340,Bayern,2017-02-23,2017-02-23,2005.8380127
4341,Bayern,2017-02-24,2017-02-25,2012.39465332
4342,Bayern,2017-02-26,2017-03-04,2015.06237793
4343,Bayern,2017-03-05,2017-03-07,2020.05895996
4344,Bayern,2017-03-08,2017-03-08,2024.16418457
4345,Bayern,2017-03-09,2017-03-11,2030.5949707
4346,Bayern,2017-03-12,2017-03-12,2032.52355957
4347,Bayern,2017-03-13,2017-03-15,2032.52355957
4348,Bayern,2017-03-16,2017-03-19,2032.95019531
4349,Bayern,2017-03-20,2017-04-01,2036.0657959
4350,Bayern,2017-04-02,2017-04-04,2038.35668945
4351,Bayern,2017-04-05,2017-04-08,2025.48046875
4352,Bayern,2017-04-09,2017-04-12,2031.90661621
4353,Bayern,2017-04-13,2017-04-13,2015.21582031
4354,Bayern,2017-04-14,2017-04-15,2011.5255127
4355,Bayern,2017-04-16,2017-04-18,2006.28259277
4356,Bayern,2017-04-19,2017-04-19,1996.95227051
4357,Bayern,2017-04-20,2017-04-20,1994.11608887
4358,Bayern,2017-04-21,2017-04-22,1994.18701172
4359,Bayern,2017-04-23,2017-04-29,1985.76428223
4360,Bayern,2017-04-30,2017-05-06,1992.79272461
4361,Bayern,2017-05-07,2017-05-13,1993.39697266
4362,Bayern,2017-05-14,2017-05-20,1996.95654297
4363,Bayern,2017-05-21,2017-07-27,1998.8458252
4364,Bayern,2017-07-28,2017-08-03,1998.82446289
4365,Bayern,2017-08-04,2017-08-15,1989.89941406
4366,Bayern,2017-08-16,2017-08-18,1987.21484375
4367,Bayern,2017-08-19,2017-08-23,1989.51599121
4368,Bayern,2017-08-24,2017-08-26,1987.9119873
4369,Bayern,2017-08-27,2017-09-09,1991.66455078
4370,Bayern,2017-09-10,2017-09-12,1974.38085938
4371,Bayern,2017-09-13,2017-09-13,1976.73828125
4372,Bayern,2017-09-14,2017-09-14,1974.85180664
4373,Bayern,2017-09-15,2017-09-16,1969.10388184
4374,Bayern,2017-09-17,2017-09-19,1971.28356934
4375,Bayern,2017-09-20,2017-09-22,1977.42016602
4376,Bayern,2017-09-23,2017-09-26,1969.35742188
4377,Bayern,2017-09-27,2017-09-27,1964.20544434
4378,Bayern,2017-09-28,2017-09-28,1947.62878418
4379,Bayern,2017-09-29,2017-10-01,1936.29589844
4380,Bayern,2017-10-02,2017-10-14,1929.89086914
4381,Bayern,2017-10-15,2017-10-17,1932.42370605
4382,Bayern,2017-10-18,2017-10-18,1933.64770508
